feature,gain,perm,shap,score,fold
BCUT2D_CHGLO,8939.893784761429,0.00206712729492603,0.005541299586495627,0.7811069262672811,1
BCUT2D_LOGPHI,7070.378690481186,0.0011956853070984486,0.005850206797385939,0.7188948894009216,1
BCUT2D_LOGPLOW,10814.548416376114,0.0035091016818703134,0.009604609276655374,0.852535529953917,1
BCUT2D_MRHI,25317.616724014282,0.0961903986023807,0.1087349171018801,0.9884802580645161,1
BCUT2D_MRLOW,8890.964274644852,0.004472647729660056,0.01085317852220594,0.8732728202764978,1
AvgIpc,9196.568951129913,0.003823826780576822,0.010634688692698966,0.866360396313364,1
BalabanJ,8692.051638126373,0.0016702622221317909,0.00606172702209192,0.7672820322580645,1
BertzCT,15703.291934251785,0.03845068833248154,0.07435777801241245,0.9746553686635945,1
Chi0,1817.460242986679,2.5854051193735517e-05,0.0010576765506119436,0.31106048847926265,1
Chi0n,5054.824328184128,0.0002251034819240716,0.0026460403197944957,0.49769661290322575,1
Chi1,5554.246493816376,0.0016367361816879145,0.008672407486118144,0.7903233686635944,1
Chi1n,5813.488316774368,8.851417644644144e-05,0.0019249117546188681,0.41705148387096774,1
Chi2n,5060.154252290726,4.710316805887071e-05,0.0016729467233344455,0.37327265437788015,1
Chi3n,4648.856493711472,7.884180365874127e-05,0.0014444324072981493,0.37096849769585255,1
Chi4n,6504.1670343875885,0.0012558775339505945,0.002881554183127203,0.6451621428571428,1
HallKierAlpha,5979.542107582092,0.024462935924880476,0.04949635226913232,0.9608303041474654,1
Ipc,6445.6157784461975,0.0009507998627474923,0.004471480322084201,0.6728119032258064,1
Kappa1,3470.8027913570404,0.001436439789494154,0.004680178372297612,0.7142864055299538,1
Kappa2,4104.270038843155,0.0035304497164961703,0.006807277873442575,0.8294938110599078,1
Kappa3,5977.476147413254,0.0017443509640199695,0.00764199008189088,0.7972358248847926,1
LabuteASA,3643.65118765831,8.170014960921512e-05,0.0016849453941167438,0.39170576958525344,1
PEOE_VSA1,3668.7843914031982,0.0004497433938607909,0.0015500387821419548,0.4930882626728111,1
PEOE_VSA10,6141.134399652481,0.000693964563529198,0.00260935519388104,0.5852542764976959,1
