number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
52,0.20646481389685553,2026-07-22 16:17:44.935790,2026-07-22 16:20:27.550098,0 days 00:02:42.614308,0.8334487136326924,0.032877731026185,10,8.243592994605248,1000,0.003696952897352388,0.2827952343799797,0.9724515765715835,COMPLETE
53,0.212872922139484,2026-07-22 16:20:27.566521,2026-07-22 16:22:27.698962,0 days 00:02:00.132441,0.7999668138264108,0.028244532467022587,7,7.491303081334447,1300,0.001179656835605539,0.620532750140553,0.9125145064102752,COMPLETE
54,0.20816414171620345,2026-07-22 16:22:27.711058,2026-07-22 16:24:36.168561,0 days 00:02:08.457503,0.8592890198689562,0.04111369233715841,9,10.414539646337767,900,2.909013502763435,2.197870320872522,0.896832640260201,COMPLETE
55,0.20587876442475772,2026-07-22 16:24:36.186599,2026-07-22 16:27:38.059854,0 days 00:03:01.873255,0.77468936464259,0.05762441592075357,11,9.131202339085595,1100,0.0018157687698966659,0.9420780481149532,0.9293428594230515,COMPLETE
56,0.24471642690433404,2026-07-22 16:27:38.093770,2026-07-22 16:28:55.642457,0 days 00:01:17.548687,0.8970568563695085,0.036156072357039534,3,13.766216620433022,1400,0.5430479373438923,0.22002361782090335,0.9786479334674248,COMPLETE
57,0.20829491846317766,2026-07-22 16:28:55.658952,2026-07-22 16:34:31.322164,0 days 00:05:35.663212,0.8150891874780248,0.029192118836232357,8,13.095487940516195,2900,9.696359472008293,0.5229808314619595,0.9403507471831569,COMPLETE
58,0.20761485612999878,2026-07-22 16:34:31.352482,2026-07-22 16:37:45.493910,0 days 00:03:14.141428,0.7448201356085764,0.06414623602886785,11,15.225991680328425,1200,0.0019828659924250942,4.686498389170977,0.8206681063978085,COMPLETE
59,0.2114605105064729,2026-07-22 16:37:45.515630,2026-07-22 16:39:47.291150,0 days 00:02:01.775520,0.8324341313541381,0.026162037573305725,10,17.03486251121112,700,5.188177524294265,1.306687828754824,0.9961707316963743,COMPLETE
60,0.20651129905690152,2026-07-23 04:57:18.594657,2026-07-23 04:59:12.600237,0 days 00:01:54.005580,0.8749383676756335,0.03296695074576222,11,9.05737881562337,900,0.03196144153964049,8.963598879542497,0.9640372770148861,COMPLETE
61,0.20613481424431224,2026-07-23 04:59:12.608786,2026-07-23 05:00:46.862298,0 days 00:01:34.253512,0.7738268230436336,0.048939013525857486,11,13.523031703157425,1000,1.1024340897078238,0.4555115846707892,0.8637023020970929,COMPLETE
62,0.2079695756053188,2026-07-23 05:00:46.869327,2026-07-23 05:02:28.008676,0 days 00:01:41.139349,0.7989649075651775,0.0431952114579579,12,12.225324194988035,1100,0.6311707487665855,0.10759414275174554,0.5670767976791584,COMPLETE
63,0.20801250810388697,2026-07-23 05:02:28.016003,2026-07-23 05:03:22.868990,0 days 00:00:54.852987,0.7512797614725982,0.052266241009339395,11,11.197365390154104,500,2.214557636593107,0.7497722169667358,0.8883821259123226,COMPLETE
64,0.2061890548821383,2026-07-23 05:03:22.876429,2026-07-23 05:04:37.835464,0 days 00:01:14.959035,0.8503947549690642,0.03811758869470052,11,14.440837305923148,800,0.13983210605367963,0.25109692908288106,0.9140860025068561,COMPLETE
65,0.20768197482481526,2026-07-23 05:04:37.842469,2026-07-23 05:05:50.350408,0 days 00:01:12.507939,0.9151512189370457,0.031184903757887825,10,15.830069570499504,900,0.44227059515412814,0.02507439074238765,0.8540742020615719,COMPLETE
66,0.2093627443330511,2026-07-23 05:05:50.357255,2026-07-23 05:06:52.464257,0 days 00:01:02.107002,0.5049283881400236,0.0444333994370686,12,18.004587546694722,700,1.3917783703779194,1.7525617670679692,0.881815521598161,COMPLETE
